 Datetime;Latitude;Longitude;Neighborhood;TypeOfProperty;PropertyValue;AmountStolen;CategoryOfItemsStolen;Temperature;ArrestMade
2024-08-14 01:25:56;40.7079974;-74.0088826;Downtown;apartment;6682;1782;art;-3.89°C;True
 2024-08-28 01:53:52;40.7080218;-74.0014447;Downtown;shop;372622;50237;jewelry;19.43°C;False
 2024-08-17 07:09:39;40.7078386;-74.0134814;Downtown;hotel;163754;26034;cash;23.25°C;False
 2024-08-15 08:34:38;40.7077988;-74.007607;Downtown;restaurant;1348;152;food;5.13°C;True
 2024-08-18 19:03:37;40.7082332;-74.0005406;Downtown;apartment;45896;7316;electronics;16.32°C;True
 2024-08-14 01:25:56;40.7077159;-73.961362;Downtown;apartment;6682;1782;art;-3.89°C;True
 2024-08-28 01:53:52;40.7084781;-74.013525;Downtown;shop;372622;88237;jewelry;19.43°C;False
 2024-08-17 07:09:39;40.7074372;-73.9032313;Downtown;hotel;163754;26034;cash;23.25°C;False
 2024-08-15 08:00:38;40.7085845;-74.0140166;Downtown;restaurant;1348;152;food;5.13°C;True
 2024-08-18 19:03:37;40.70733;-74.0063713;Downtown;apartment;45896;7316;electronics;16.32°C;True
 2024-08-14 01:25:56;40.7071242;-74.0083922;Downtown;apartment;6682;1782;art;-3.89°C;True
 2024-08-28 01:53:52;40.708882;-74.0114326;Downtown;shop;372622;5237;cash;19.43°C;False
 2024-08-17 07:09:39;40.7092337;-74.0399722;Downtown;hotel;163754;26034;cash;23.25°C;False
 2024-08-15 07:45:38;40.706529;-74.0844223;Downtown;restaurant;1348;52;food;5.13°C;True
 2024-08-18 19:03:37;40.7065047;-74.0077715;Downtown;apartment;45896;7316;electronics;16.32°C;True
 2024-08-04 12:55:49;40.7095008;-74.0126642;Downtown;restaurant;1789;31;food;18.14°C;True
 2024-08-08 19:35:06;40.7063523;-74.0138086;Downtown;restaurant;687;124;food;5.77°C;False
 2024-08-20 13:15:23;40.7062148;-73.9228243;Downtown;restaurant;6783;86;food;-3.60°C;False
 2024-08-05 07:24:12;40.7062008;-74.0938172;Downtown;restaurant;204;30;food;28.28°C;False
 2024-08-23 09:10:23;40.7060908;-74.0072932;Downtown;restaurant;1284;131;food;15.49°C;False
 2024-08-17 13:19:56;40.710158;-73.899559;Downtown;restaurant;1448;198;food;19.28°C;False
 2024-08-02 19:45:18;40.7104848;-74.1569801;Downtown;restaurant;141;102;food;22.04°C;True
 2024-08-03 12:09:08;40.705498;-74.007364;Downtown;restaurant;295;40;food;10.47°C;True
 2024-08-22 13:26:32;40.7052835;-74.0996135;Downtown;restaurant;353;323;food;3.38°C;True
 2024-08-11 18:47:42;40.7052041;-73.8965961;Downtown;restaurant;124;19;food;27.64°C;False
 2024-08-24 13:09:09;40.7051201;-74.0140463;Downtown;shop;166999;20412;jewelry;25.24°C;False
 2024-08-13 18:16:43;40.7049382;-74.0085917;Downtown;restaurant;2802;314;food;29.96°C;False
 2024-08-17 12:19:14;40.7048499;-74.0095927;Downtown;restaurant;521;134;food;19.41°C;False
 2024-08-23 08:03:26;40.7112962;-74.0927397;Downtown;restaurant;2950;494;food;22.73°C;True
 2024-08-29 02:36:36;40.7046878;-74.0116672;Downtown;apartment;26202;4962;art;-4.46°C;True
 2024-08-13 02:46:26;40.711468;-73.9445361;Downtown;hotel;58648;6088;cash;24.83°C;False
 2024-08-30 07:23:32;40.7040298;-74.01048;Downtown;apartment;29037;5452;electronics;6.44°C;False
 2024-08-18 04:15:17;40.7037947;-74.0801455;Downtown;hotel;65997;8278;art;28.86°C;False
 2024-08-23 00:38:44;40.7122007;-74.0632807;Downtown;shop;117844;43286;art;28.85°C;False
 2024-08-27 20:09:07;40.7034721;-73.9411468;Downtown;restaurant;1010;352;food;15.46°C;False
 2024-08-28 02:05:13;40.7127482;-74.015579;Downtown;hotel;40599;5643;art;26.83°C;False
 2024-08-02 02:21:18;40.7032457;-74.0950441;Downtown;apartment;22925;3113;jewelry;8.60°C;False
 2024-08-08 03:01:56;40.7029533;-73.9938431;Downtown;industrial;244508;65408;cash;-3.85°C;False
 2024-08-21 13:16:24;40.7027894;-73.9081067;Downtown;shop;209853;26368;jewelry;19.34°C;True
 2024-08-14 02:47:12;40.7134389;-73.9961984;Downtown;industrial;546172;68996;electronics;22.85°C;False
 2024-08-16 20:29:34;40.7023357;-73.8147257;Downtown;restaurant;163;93;food;21.07°C;True
 2024-08-05 19:02:21;40.7022222;-73.9844444;Downtown;hotel;134208;16162;cash;24.99°C;False
 2024-08-09 02:33:29;40.7138868;-73.9987982;Downtown;apartment;73352;8626;cash;14.23°C;True
 2024-08-10 07:22:13;40.7019674;-73.8792549;Downtown;shop;95160;19254;cash;23.87°C;True
 2024-08-12 18:18:55;40.7141495;-74.0092085;Downtown;restaurant;111;72;food;17.34°C;False
