Id,Nome,Categoria,Link,Persone/Pezzi,Ingredienti,Steps
0,Tiramisù,Dolci,https://ricette.giallozafferano.it/Tiramisu.html,8,"[['Mascarpone', '750g'], ['Uova', '260g'], ['Savoiardi', '250g'], ['Zucchero', '120g'], ['Caffè', '300g'], ['Cacao amaro in polvere', 'q.b.']]","Per preparare il tiramisù preparate il caffé con la moka per ottenerne 300 g, poi zuccherate a piacere (noi abbiamo messo un cucchiaino) e lasciatelo raffreddare in una ciotolina bassa e ampia. Separate le uova dividendo gli albumi dai tuorli ricordando che per montare bene gli albumi non dovranno presentare alcuna traccia di tuorlo. Montate i tuorli con le fruste elettriche, versando solo metà dose di zucchero Non appena il composto sarà diventato chiaro e spumoso, e con le fruste ancora in funzione, potrete aggiungere il mascarpone, poco alla volta Incorporato tutto il formaggio avrete ottenuto una crema densa e compatta Quando saranno schiumosi versate il restante zucchero un po’ alla volta Dovrete montarli a neve ben ferma così stempererete il composto. Dopodiché procedete ad aggiungere la restante parte di albumi, poco alla volta mescolando molto delicatamente dal basso verso l'alto La crema al mascarpone è ora pronta Distribuitene una generosa cucchiaiata sul fondo di una pirofila di vetro, grande 30x19,5cm e distribuite per bene su tutta la base. Inzuppate per pochi istanti i savoiardi nel caffè freddo prima da un lato e poi dall’altro Man mano distribuite i savoiardi imbevuti nella pirofila, cercando di sistemarli tutti in un verso, così da ottenere un primo strato di biscotti Aggiungete altra crema al mascarpone e livellatela in modo da coprirli completamente E continuate a distribuire i savoiardi imbevuti nel caffè poi realizzate un altro strato di crema Trasferite la crema rimasta in un sac-à-poche con beccuccio liscio di diametro 12 mm e realizzare dei ciuffetti per tutta la dimensione della teglia Spolverizzatela con del cacao amaro in polvere Il vostro tiramisù è pronto per essere gustato!"
1,Cookies,Dolci,https://ricette.giallozafferano.it/Cookies.html,12,"[['Farina 00', '195g'], ['Burro', '100g'], ['Bicarbonato', '1pizzico'], ['Uova', '55g'], ['Zucchero di canna', '100g'], ['Zucchero', '100g'], ['Gocce di cioccolato fondente', '200g'], ['Sale fino', '1pizzico']]","Per preparare i cookies, assicuratevi che il burro sia morbido. Quindi versate in una ciotola lo zucchero di canna e quello semolato Unite un pizzico di sale Lavorate con le fruste elettriche fino ad amalgamare gli ingredienti aggiungete l'uovo Quando sarà ben assorbito unite la farina Lavorate con le fruste elettriche Aggiungete le gocce di cioccolato Adesso utilizzando uno spallinatore da 5 cm di diametro prelevate una porzione di impasto (circa 40-45 g) Quindi adagiate su una leccarda rivestita con carta forno le palline, ben distanziate tra loro in cottura infatti tenderanno ad allargarsi molto. Cuocete in forno statico preriscaldato a 190° per 13-15 minuti sino a che non saranno ben dorati. Sfornate lasciate raffreddare e servite i vostri cookies "
2,Pancake allo sciroppo d'acero,Dolci,https://ricette.giallozafferano.it/Pancakes-allo-sciroppo-d-acero.html,4,"[['Burro', '25g'], ['Farina 00', '125g'], ['Uova', '2'], ['Latte intero', '200g'], ['Lievito in polvere per dolci', '6g'], ['Zucchero', '15g'], ['Sciroppo di acero', 'q.b.']]","Iniziamo la preparazione dei pancake fondendo il burro a fuoco bassissimo, quindi lasciate intiepidire. Intanto dividete gli albumi dai tuorli. Versate i tuorli in una ciotola e sbatteteli con una frusta a mano poi unite il burro fuso a temperatura ambiente Montate il composto finchè non risulterà chiaro.Unite il lievito alla farina mescolate con la frusta per amalgamare Ora montate gli albumi che avete tenuto da parte, versando poco alla volta lo zucchero Mettete a scaldare sul fuoco medio (non alto altrimenti non darete il tempo all'impasto di lievitare bene durante la cottura e i pancake diventeranno troppo scuri) una padella ampia antiaderente (meglio se a fondo spesso) e, se necessario, ungete con poco burro da spandere sulla superficie con l'aiuto di carta da cucina. Versate al centro del pentolino un mestolino di preparato non ci sarà bisogno di spanderlo.Quando inizieranno a comparire delle bollicine in superficie e la base sarà dorata, giratelo sull’altro lato per mezzo di una spatolina come se fosse una crepe o una frittata, quindi fate dorare a sua volta anche l'altro lato, dopodichè il pancake sarà pronto Proseguite così con il resto dell'impasto e man a mano disponete i pancake su un piatto da portata, impilateli uno sopra l'altro. Con queste dosi dovrebbero formarsi all'incirca 12 pancake. Serviteli caldi e cosparsi di sciroppo d’acero Potete accompagnare i pancake con della frutta fresca o sciroppata di vostro gusto."
3,Crema al mascarpone,Dolci,https://ricette.giallozafferano.it/Crema-al-mascarpone.html,4,"[['Mascarpone', '500g'], ['Zucchero', '125g'], ['Tuorli', '4'], ['Acqua', '50g'], ['Cacao amaro in polvere', 'q.b.']]","Per preparare la crema al mascarpone versate in un pentolino l'acqua mescolate leggermente e portate il composto a 121°C misurando la temperatura con un termometro da cucina Poco prima di raggiungere i 121°C (quindi verso i 115°C), cominciate a montare i tuorli con le fruste elettriche Continuate a montare fino al completo raffreddamento Si ottiene così la pate à bombe, la base di tante preparazioni di pasticceria.In una ciotola ammorbidite il mascarpone con una spatola poi aggiungete poco alla volta il composto di tuorli oramai freddo. Incorporate con le fruste o con una marisa, mescolando man mano La vostra crema al mascarpone è pronta! Potete gustarla insieme a una fetta di panettone o pandoro oppure come dessert al cucchiaio guarnendo a piacere con del cacao amaro setacciato "
4,Crepe dolci e salate (ricetta base),Dolci,https://ricette.giallozafferano.it/Crepes-dolci-e-salate-ricetta-base.html,15,"[['Uova', '3'], ['Farina 00', '250g'], ['Latte intero', '500ml'], ['Burro', 'q.b.']]","Per preparare le crepe dolci e salate iniziate rompendo le uova in una ciotola dai bordi alti Mescolate accuratamente per amalgamare questi due ingredienti Posizionate un colino sul recipiente e poi setacciate la farina nella ciotola (per comodità potete anche aggiungerla in due tempi e mescolare così da evitare la formazione di grumi). Poi con le fruste mescolate energicamente per assorbire la farina Continuate a mescolare fino ad ottenere un composto omogeneo, vellutato e privo di grumi A questo punto coprite la ciotola con della pellicola alimentare trasparente e lasciate riposare per almeno 30 minuti in frigorifero: questa operazione serve a far assorbire eventuali grumi Trascorso il tempo mescolate l’impasto per farlo rinvenire Trascorso circa 1 minuto a fuoco medio-basso, dovreste notare una leggera doratura, i bordi tenderanno a staccarsi perciò potrete girare la prima crepe aiutandovi con una paletta Cuocete anche l'altro lato per 1 minuto circa, aspettando che prenda colore Una volta cotta la prima, strasferitela su un piatto da portata o su di un tagliere. Ripetete questa operazione fino a finire l’impasto, dovreste ottenere così 15 crepe del diametro di 20 cm: impilate ogni crepe una sopra l’altra così resteranno morbide. Ecco pronte le vostre crepe dolci e salate, non vi resta che farcirle "
5,Lasagne alla Bolognese,Primi piatti,https://ricette.giallozafferano.it/Lasagne-alla-Bolognese.html,8,"[['Semola di grano duro rimacinata', '350g'], ['Farina 00', '150g'], ['Spinaci', '250g'], ['Uova', '2'], ['Tuorli', '3'], ['Carne bovina', '300g'], ['Pancetta', '150g'], ['Carote', '50g'], ['Sedano', '50g'], ['Cipolle dorate', '50g'], ['Vino rosso', '100g'], ['Passata di pomodoro', '300g'], ['Brodo vegetale', 'q.b.'], [""Olio extravergine d'oliva"", '1cucchiaio'], ['Sale fino', 'q.b.'], ['Pepe nero', 'q.b.'], ['Burro', '70g'], ['Farina 00', '70g'], ['Latte intero', '1l'], ['Sale fino', 'q.b.'], ['Noce moscata', 'q.b.'], ['Burro', 'q.b.'], ['Parmigiano Reggiano DOP', '270g']]","Per preparare le lasagne alla bolognese, iniziate dal ragù. Preparate il brodo vegetale che dovrete tenere in caldo. Poi prendete la pancetta, tagliatela prima a striscioline Con un coltello o una mezzaluna sminuzzatela per bene A parte preparate un trito fine con carote, cipolle, sedano e tenetelo da parte In una casseruola versate un filo d'olio e la pancetta. Sgranatela bene con un mestolo Aggiungete poi la carne macinata Mescolate e alzate la fiamma. Lasciate rosolare la carne senza fretta, dovrà essere ben rosolata per sigillare i succhi e risultare morbida non stopposa.Sfumate con il vino rosso poi aspettate che sia completamente evaporato e aggiungete la passata di pomodoro Mescolate, il ragù deve cuocere due ore. Quando ha ripreso il bollore potete aggiungete poco brodo caldo, uno o due mestoli Poi fate andare il ragù per un paio d'ore almeno.Dovrete cuocere con il coperchio, senza chiudere del tutto Controllate e mescolate di tanto in tanto, al bisogno aggiungete altro brodo e lasciate cuocere per il tempo indicato. Passate adesso alla pasta. Come prima cosa versate gli spinaci in un tegame aggiungete poca acqua, coprite con un coperchio e lasciate cuocere fino a che non saranno appassiti, in totale ci vorranno 5-6 minuti A questo punto scolateli, lasciateli intiepidire e strizzateli bene Trasferiteli in un mixer e frullateli fino ad ottenere una purea Dovrete ricavarne 100 g. Adesso su una spianatoia versate la semola e la farina 00 aggiungete gli spinaci e create una forma a fontana. Unite le uova leggermente sbattute e i tuorli, sempre sbattuti Iniziate ad impastare il tutto partendo dal centro in questo modo le uova non scivoleranno fuori dalla fontana. Impastate bene fino ad ottenere un panetto omogeneo Avvolgetelo nella pellicola senza farlo bollire. In un altro tegame versate il burro Aggiungete la farina in una volta sola Versate quindi il latte caldo in 3 volte mescolando bene. Aggiungete il sale e aromatizzate con la noce moscata Continuate a mescolare fino ad ottenere una besciamella cremosa Trasferite in una ciotolina, coprite con pellicola a contatto e tenete da parte. Non appena saranno trascorsi i 30 minuti riprendete il panetto di pasta e prelevatene un pezzo Coprite la pasta restante con la pellicola per non farla seccare.Aiutandovi con un po' di semola appiattitelo leggermente sulla spianatoia in modo da formare un rettangolo e stendete la pasta nella macchina. Iniziate da uno spessore più largo, poi ripiegate la passa su se stessa e ripassatela. Quando sentite che è troppo umida spolverizzate con un po' di semola. Riducete man mano lo spessore fino ad ottenere una sfoglia spessa poco più di mezzo mm. Trasferitela su una spianatoia e tagliate dei rettangoli grandi 30x20 cm Proseguite in questo modo fino a terminare l'impasto e nel frattempo mettete sul fuoco una pentola colma d'acqua e salatela. Quando inizierà a bollire mmergete una sfoglia alla volta aspettate 30-40 secondi e aiutandovi con una schiumarola scolatela Trasferitela su un vassoio con un canovaccio Prendete una teglia da lasagna grande 30x20 cm e imburrate il fondo Aggiungete uno strato sottile di besciamella e uno di ragù Posizionate quindi la prima sfoglia aggiungete uno strato di besciamella e uno di ragù Aggiungete il parmigiano grattugiato Aggiungete ancora uno strato di besciamella e uno di ragù unite il formaggio grattugiato in modo da coprire interamente la pasta Spolverizzate con il formaggio grattugiato, aggiungete dei ciuffetti di burro "
6,Besciamella,Salse e Sughi,https://ricette.giallozafferano.it/Besciamella.html,4,"[['Latte intero', '1l'], ['Burro', '100g'], ['Farina 00', '100g'], ['Sale fino', '1pizzico'], ['Noce moscata', 'q.b.']]","Per preparare la besciamella per prima cosa versate il latte in un pentolino aggiungete la noce moscata poi fatelo scaldare.Mettete il burro in un altro pentolino Mescolate vigorosamente con una frusta a mano per evitare la formazione di grumi Continuate a mescolare fino ad ottenere un composto dorato, il roux A questo punto stemperate il roux versando prima poco latte caldo e poi tutto il resto Continuate a mescolare a fuoco dolce fino a raggiungere la consistenza desiderata "
7,Pasta per la pizza,Lievitati,https://ricette.giallozafferano.it/Impasto-per-pizza.html,3,"[['Farina Manitoba', '200g'], ['Farina 00', '300g'], ['Acqua', '300ml'], ['Sale fino', '10g'], ['Lievito di birra fresco', '54g']]","Per preparare la pasta per la pizza abbiamo scelto di impastare il tutto a mano, ma se preferite utilizzare l’impastatrice potrete seguire lo stesso procedimento, utilizzando il gancio a velocità medio bassa. Come prima cosa versate le due farine in una ciotola sbriciolate il lievito all'interno La temperatura ideale dell'acqua è di 25°. Mescolate con un mestolo di legno Continuate sempre a mescolare e quando avrete aggiunto circa metà dell'acqua potrete aggiungere anche il sale Unite poi l'acqua rimasta, sempre lentamente, sino ad ottenere un composto omogeneo; aiutatevi con le mani per lavorarlo meglio Infine trasferite l’impasto sul piano da lavoro e lavoratelo con le mani Ottenuto un bel panetto liscio, lasciatelo riposare sul piano di lavoro per una decina di minuti coprendolo con la ciotola Una volta riposato dategli una piccola piega: immaginate che la sfera sia divisa in 4 parti, prendete l’estremità di ognuna, tiratela delicatamente e ripiegatela verso il centro Date poi una piega all'impasto Rigiratelo su se stesso dategli la forma di una sfera Trasferite l'impasto così formato in una ciotola, coprite con pellicola trasparente Trascorso il tempo della lievitazione, l'impasto sarà bello gonfio quindi trasferitelo sul piano da lavoro e dividetelo con un tarocco in 3 pezzi da 265 g Se dovesse servirvi, potete infarinare leggermente il piano di lavoro. Ora prendete ciascuna porzione e come fatto prima sollevate un lembo di pasta Rifate poi la stessa cosa per gli altri 3 lembi di pasta Allungate quindi l'impasto piegandolo su se stesso Trasferite man mano i panetti in una cassetta per pizza precedentemente unta coprite con il coperchio prima di poter tirare l’impasto per la pizza e condirlo a vostro piacimento!"
8,Biscotti di Pan di zenzero (gingerbread),Dolci,https://ricette.giallozafferano.it/Biscotti-di-Pan-di-zenzero-gingerbread.html,15,"[['Zenzero in polvere', '5g'], ['Farina 00', '350g'], ['Chiodi di garofano macinati', '1pizzico'], ['Noce moscata', '1pizzico'], ['Cannella in polvere', '5g'], ['Bicarbonato', '¼'], ['Zucchero', '160g'], ['Burro', '110g'], ['Uova', '1'], ['Sale fino', '1pizzico'], ['Miele', '50g'], ['Zucchero a velo', '150g'], ['Albumi', '1']]","Per realizzare i biscotti di Pan di zenzero iniziate dalla frolla speziata: versate nel mixer munito di lame la farina Aggiungete anche 1/4 di cucchiaino di bicarbonato lo zucchero semolato Quindi unite un pizzico di sale Per ultimo versate il burro freddo di frigo tagliato a dadini frullate il composto ad intermittenza per non scaldare eccessivamente l'impasto fino a ottenere una consistenza sabbiosa Versate il composto sul piano di lavoro e formate la classica fontana Versate l’uovo al centro e una volta che l’impasto avrà preso consistenza formate un panetto piatto e copritelo con pellicola trasparente Ponete l’impasto a rassodare in frigorifero per almeno 30 minuti. Trascorso il tempo di riposo, riprendete l’impasto, stendetelo con il mattarello su una spianatoia infarinata ad uno spessore tra i 7 mm e 1 cm Ritagliate la frolla con le formine natalizie che preferite, noi abbiamo scelto i classici omini di Pan di zenzero Se volete, in questa fase potete forare i biscotti all'altezza della testolina degli omini per far passare un nastrino e poterli appendere all’albero. Con le dosi indicate otterrete circa 15 biscotti (in base al tipo di forme usate e alle dimensioni il numero potrebbe variare). Trasferite i biscotti su una leccarda rivestita con carta da forno meglio se su una gratella.Intanto preparate la ghiaccia reale: versate gli albumi in una ciotola iniziate a montare con le fruste elettriche a media velocità e incorporate poco a poco lo zucchero a velo aiutandovi con un cucchiaio Trasferite la glassa in una sac-à-poche usa e getta "
9,Spaghetti alla Carbonara,Primi piatti,https://ricette.giallozafferano.it/Spaghetti-alla-Carbonara.html,4,"[['Spaghetti', '320g'], ['Guanciale', '150g'], ['Tuorli', '6'], ['Pecorino romano', '50g'], ['Pepe nero', 'q.b.']]","Per preparare gli spaghetti alla carbonara cominciate mettendo sul fuoco una pentola con l’acqua salata per cuocere la pasta. Nel frattempo eliminate la cotenna dal guanciale La cotenna avanzata potrà essere riutilizzata per insaporire altre preparazioni. Versate i pezzetti in una padella antiaderente Nel frattempo tuffate gli spaghetti nell’acqua bollente aggiungete anche la maggior parte del Pecorino previsto dalla ricetta Insaporite con il pepe nero amalgamate tutto con una frusta a mano Aggiungete un cucchiaio di acqua di cottura per diluire il composto e mescolate Intanto il guanciale sarà giunto a cottura, spegnete il fuoco e tenetelo da parte Scolate la pasta al dente direttamente nel tegame con il guanciale Per renderla ben cremosa, al bisogno, potete aggiungere poca acqua di cottura della pasta Servite subito gli spaghetti alla carbonara insaporendoli con il Pecorino avanzato "
